Company,cleaned_question
TCS,What is a Singleton Design Pattern Demonstrate an eager initialization case of Singleton
TCS,Write a Java program to find the twisted factorial of a number considering only prime numbers during the calculation
TCS,Write an SQL query to identify all departments with people whose names start with the letter A and print the count of such people
TCS,Write a useEffect method to fetch data from an API retrieve the response and display it in a table format
TCS,What are some coding questions you might ask
TCS,Using the given dummy table write SQL queries demonstrating different types of JOINs
TCS,What is the difference between git pull and git merge
TCS,What is the SQL query used to update the value of 5 to the HR in the employee details table
TCS,What applications or tools are you familiar with what are their advantages and are there any alternatives
TCS,What are the golden rules of accounting and how are they applied
TCS,What is the agile model
TCS,List the different frameworks used in automation testing
TCS,What is the difference between SDLC and STLC
TCS,What are the differences between TypeScript and JavaScript
TCS,What are your basic SQL skills
TCS,Explain file provisioning
TCS,How can a deleted state file be retrieved
TCS,How do you troubleshoot issues in real time
TCS,Explain Batch Apex
TCS,What is a data type
TCS,Write code to find prime numbers
TCS,What are the reasons for your preference for TCS
TCS,Tell me about SQL commands DML and DDL
TCS,What are the concepts of ObjectOriented Programming specifically polymorphism and inheritance
TCS,What is garbage collection in Java and how does it work
TCS,Write a function to reverse a string using StringBuffer
TCS,Given a string find the duplicate characters in the string
Accenture,Explain vendor query management
Accenture,What is the difference between procurement and supply chain management
Accenture,How do you provide your ideas for process improvements
Accenture,What are the differences between a HashMap and a HashSet
Accenture,Tell me about your experience building proposals
Accenture,How do you ensure accuracy and efficiency in your communication with customers
Accenture,What are the key concepts of ObjectOriented Programming OOP
Accenture,In which testing phase is traceability prepared
Accenture,What is the STLC cycle
Accenture,Describe the SOLID principles
Accenture,What is an IRA
Accenture,What is a Roth IRA
Accenture,What is DC
Accenture,What is Java
Accenture,What is the role of HR
Accenture,What is human resource management
Accenture,What DevOps tools do you use especially for web configuration
Accenture,Explain the reports generated from the Cucumber framework
Accenture,What is the purpose of a data model
Accenture,What are five skills that could help improve our business
Accenture,What is microservices architecture
Accenture,What are the differences between sales products in B2B businesstobusiness and B2C businesstoconsumer markets
Accenture,How to choose soap vs rest
Accenture,How can you raise a query for UAT
Accenture,What are DNS and DHCP and what are their respective functions
Accenture,What VPN and VDI solutions are utilized
Accenture,What is the endtoend sales process
Accenture,What is reconciliation in banking
Accenture,What is the role of a bank operations officer
Accenture,What are the different types of accounts offered by banks
Accenture,What are the key steps involved in clearing a cheque
Accenture,What is the practical test that follows your process
Accenture,What do you know about MS Excel
Accenture,What are the key differences between Waterfall and Agile methodologies
Accenture,What is the Software Development Lifecycle and can you provide examples of its various phases
Accenture,What are some common error codes you have encountered
Accenture,Can you describe the endtoend process
Accenture,What are materialized views
Accenture,What is the incident management flow
Accenture,What is CPM password rotation
Accenture,Where are PSM recordings saved
Accenture,Define endtoend process
Accenture,What are your skills and experiences with tools such as Linux at the server level and ServiceNow
Accenture,What is your knowledge regarding Linux administration and your handson experience in server management
Accenture,What are some fundamental principles of accounting
Accenture,Write a recursive function to calculate the factorial of a given number
Accenture,Write a program to print an inverted triangle pattern
Accenture,Tell me about your experience in analytics and reporting
Accenture,What are the different Java interfaces
Accenture,Explain the concepts of OOPS
Accenture,What is the central limit theorem
Accenture,What are the assumptions of Linear Regression
Accenture,What is pricing
Accenture,Explain the entire ProcuretoPay P2P cycle process
Accenture,How does finance operate within the IT sector and what is its impact
Accenture,Explain the principles of data architecture
Accenture,Explain slow changing dimensions
Accenture,How do you perform error handling in your project
Accenture,What is the difference between the tJava tJavaRow and tJavaFlex components in Talend
Accenture,Is Java the primary language you use
Accenture,How would you handle conflict in the workplace
Accenture,What are transitional requirements
Accenture,How would you debug a Spark application
Accenture,What is method overloading and overriding
Accenture,Explain one case study
Accenture,How do you approach problemsolving
Accenture,How do you test design solutions
Accenture,What are the different types of OData queries
Accenture,What are the different types of enhancements and how are they used
Accenture,How do you swap two numbers without using a temporary variable
Accenture,What does the accrual concept of accounting state
Accenture,What is the difference between budgeting and forecasting
Accenture,How can duplicate invoices be identified
Accenture,Can you explain your knowledge of processes
Accenture,Tell me about your favorite and least favorite parts of computer science
Accenture,What is Selenium Grid and how is it used in software testing
Accenture,What is the difference between the methods findElement and findElements
Accenture,What are your preferred work locations
Accenture,What is bookkeeping
Accenture,Explain the ordertocash cycle in detail
Accenture,Discuss your projects or achievements
Accenture,We will not be providing any leaves for the next six months Are you comfortable with that
Accenture,How do you select different tabs in Tosca
Accenture,What is the difference between functional and nonfunctional testing
Accenture,Why did you choose agile methodologies
Accenture,What are the types of entries
Accenture,What is the need for bookkeeping
Accenture,What are application servers
Accenture,What are the attributes of accounti6
Accenture,What is summarization
Accenture,What is Microsoft SQL Server
Accenture,What is SQL Server
Accenture,What is the lifecycle of a CSV file within an enterprise system like SAP
Accenture,What deliverables are necessary to retire a system
Accenture,Please explain the Change management process
Accenture,Are you able to carry and set up desktops
Accenture,How do you perform thick client penetration testing
Accenture,Given two sorted arrays merge them into a single sorted array
Accenture,Explain the rank function and a scenario where it would be used
Accenture,What is SCD and what are its types
Wipro,What is the role of GenAI in RPA
Wipro,How will GenAI change the RPA developer role
Wipro,Tell us about semantic elements
Wipro,What is a service
Wipro,Explain authentication and authorization
Wipro,How do you manage multiple APIs in Angular
Wipro,Have you used any thirdparty libraries If so how did you implement them in your project
Wipro,What is the box model
Wipro,How do you handle errors
Wipro,What is hoisting Explain with an example
Wipro,What are HTTP interceptors
Wipro,What is git compare
Wipro,How do you manage multiple APIs in Angular
Wipro,How do components interact with each other
Wipro,What is NgRx
Wipro,What is hoisting Explain with an example
Wipro,What is the difference between an observable and a promise
Wipro,Where is it appropriate to use git rebase
Wipro,Tell us about semantic elements
Wipro,What is a MAC address
Wipro,What are the negative aspects of working at Wipro
Wipro,What is content moderation
Wipro,What is the full form of PIN
Wipro,What are communication fundamentals
Wipro,What does a company use
Wipro,Explain the logic behind determining if a number is prime
Wipro,How do you convince an irate and critical customer
Wipro,What are some examples of realtime frauds that occur in daily life
Wipro,What steps would you take to mitigate payment fraud
Wipro,How is Weblogic used
Wipro,Write a Java program to sort an array and find the largest element
Wipro,How do you iterate through a map
Wipro,Explain the Actions class
Wipro,What are the safety protocols and regulations for working at heights
Wipro,What is the method for calculating gratuity
Wipro,What are the key points to check in a pay sheet
Wipro,What is ESG and can you explain its pillars ESG stands for Environmental Social and Governance its how we measure if a company is acting responsibly The 3 Pillars 1 Environmental How the company read more
Wipro,What backend operations are you familiar with and can you elaborate on your experience with them
Wipro,How do you use mapping techniques
Wipro,How do you use Google Maps
Wipro,What is deferred tax
Wipro,Explain the Saga design pattern and provide a use case
Wipro,Why have you not included C and C in your resume considering you are a computer science student and they are likely part of your curriculum
Wipro,What are fixed assets
Wipro,What is general accounting
Wipro,How do you use the Optional class
Wipro,How would you group by department
Wipro,How can artificial intelligence be utilized in data analysis
Wipro,What is RLS
Wipro,Explain Interface with an example
Wipro,Explain sprint review and how you would correct any issues that arise during the review
Wipro,Tell me about your experience handling clients
Wipro,How can variable values be swapped in a single statement in JavaScript
Wipro,What are some technical issues
Wipro,Can you give an example of a market
Wipro,What is business
Wipro,What is a market in economics
Wipro,What are sales and marketing
Wipro,What is technical
Wipro,How can one secure a server
Wipro,How do you check system logs for errors or issues
Wipro,How would you contribute to Wipros success
Wipro,What are the different ways of finding an element
Wipro,What are the differences between driverclose and driverquit
Wipro,How do you handle product shortages and excesses
Wipro,How do you maintain inventory
Wipro,Create a function that takes a string as input and reverses it by iterating through the characters
Wipro,What is the command and syntax used to create a new user account on the system
Wipro,How can the variable be used to check if the previous command executed successfully in a UnixLinux system
Wipro,What is the purpose of the paste command in merging lines from files horizontally
Wipro,Explain the concept of redblack trees
Wipro,What is 30 of 200
Wipro,In which scenarios can constructors be utilized
Wipro,Tell me about Wipro
Wipro,How would you approach a data migration project
Wipro,What are dictionary attributes
Wipro,What is the dictionary override rule
Wipro,What are Business Rules
Wipro,How would you fetch the last 5 recently created incidents using a background script
Wipro,How did you implement Agile methodologies in your project
Wipro,What are the key components in ADF
Wipro,What is a function in Python
Wipro,What is decision making and conditional execution in programming
Wipro,What is VPC and can you explain it
Wipro,What is the difference between SG and NaCl
Wipro,If a computer restarts repeatedly how would you troubleshoot this issue
Wipro,How can you connect one PC to another without internet access
Wipro,How do you install an operating system
Wipro,What is network topology
Wipro,What is BSOD
Wipro,What is the difference between the internet and a network
Wipro,What is the difference between RAM and a Processor
Wipro,Given two strings write code to determine if one is a permutation of the other
Wipro,How do you solve customer problems
Wipro,What are the practical uses of maps in reallife situations
Wipro,What is the OEE
Wipro,What is the 5S methodology
Wipro,How many years have you worked at this company
Wipro,What is KNN in ML
Wipro,What is a dashboard and what purpose does it serve
Cognizant,What is the selection process
Cognizant,What is human resources HR
Cognizant,What do you know about Digital Marketing
Cognizant,What are the differences between analog and digital circuits
Cognizant,What financial metrics do you think are most important for evaluating company performance and why
Cognizant,How would you handle a situation where financial data is incomplete or inaccurate
Cognizant,Explain the OOPs concepts with examples
Cognizant,Why are we moving to modern data warehousing
Cognizant,What is the process for performing parallel testing in Selenium
Cognizant,What are the key concepts of ObjectOriented Programming OOP
Cognizant,What is Principal Component Analysis PCA and how does it work
Cognizant,Why is feature selection necessary and what is the process by which it operates
Cognizant,How does RetrievalAugmented Generation work in Generative AI
Cognizant,What is RAM
Cognizant,What do you know about software development
Cognizant,What are your extracurricular activities
Cognizant,How do you handle difficult customers
Cognizant,What is the Singleton design pattern
Cognizant,How does a Hashmap work internally
Cognizant,What is your level of product knowledge
Cognizant,How do you handle null safety
Cognizant,What is a gateway in a transaction cycle
Cognizant,What is the transaction cycle
Cognizant,What is the role of an acquirer processor in payment transactions
Cognizant,What are the differences between an interface and an abstract class in OOP
Cognizant,What is a dangling pointer
Cognizant,Can you explain memory leaks
Cognizant,Can you provide an example
Cognizant,What is vulnerability assessment
Cognizant,What does a SOC analyst do
Cognizant,What is the Citrix enumeration process related to XenApp and how does it involve NetScaler
Cognizant,What is the process for upgrading Citrix Provisioning Services PVS vDisk
Cognizant,What is the difference between a foreach loop and a for loop
Cognizant,What are disaster recovery strategies
Cognizant,What are Ansible modules
Cognizant,What is Terraform data
Cognizant,How do you integrate LWC with Apex
Cognizant,What is an IT system
Cognizant,What is the definition of malware
Cognizant,What is meant by an attack
Cognizant,What does SIEM stand for and what is its significance
Cognizant,What is meant by ransomware
Cognizant,What knowledge do you have regarding insurance
Cognizant,How do you perform logging
Cognizant,Explain depreciation entries and calculations
Cognizant,Why is Selenium the most popular testing tool
Cognizant,What are mouse actions
Cognizant,Explain the difference between findElement and findElements
Cognizant,What is an XPath locator
Cognizant,What do you mean by encapsulation
Cognizant,What are the differences between supervised and unsupervised learning
Cognizant,What is the difference between a rigid Agile model and a flexible Agile model
Cognizant,What details are required to create a JMeter script
Cognizant,Tell me about inheritance with an example
Cognizant,Write a program to determine if a given year is a leap year
Cognizant,Tell me about polymorphism with an example
Cognizant,What do you know about lease accounting
Cognizant,Tell me briefly about your experience in your last company
Cognizant,Explain what an executable file is
Cognizant,What is a thread pool
Cognizant,What is StringBuffer
Cognizant,What is workers compensation
Cognizant,What are the payer guidelines
Cognizant,What is the process of reconciling balance sheet accounts
Cognizant,Can you describe a tricky SQL question you have encountered
Cognizant,What is the transformer architecture in the context of natural language processing
Cognizant,What are SOAP notes
Cognizant,What does a medical scribe do
Cognizant,What is XML
Cognizant,What is a marker interface
Cognizant,What is JWT authorization
Cognizant,How do you improve team performance
Cognizant,What is the difference between Selenium 314159 and Selenium 4
Cognizant,How do you copy an OTP from one browser navigate to another browser and paste it
Cognizant,How do you handle calendar popups using Selenium
Cognizant,How would you handle a difficult customer
Cognizant,What is the procedure for configuring Snowpipe
Cognizant,What are the advantages of using Snowflake compared to other cloud data warehouses
Cognizant,Write a Java code snippet demonstrating the use of trycatch blocks
Cognizant,Write Python code to catch an exception
Cognizant,Write Java code using conditional statements to print prime numbers
Cognizant,Write a program to print hello world to the output screen
Cognizant,Write Python code to swap a 3x3 matrix
Cognizant,How do you find the greatest number from an array
Cognizant,How would you handle the existing Lex bit issue
Cognizant,What are the key components of AWS Lex
Cognizant,What is AWS infrastructure and its key components
Cognizant,Implement a custom LinkedList
Cognizant,How do you handle transactions in a Microservices Architecture
Cognizant,What is a circuit breaker
Cognizant,What are the differences between JDK JVM and JRE
Cognizant,What are React lifecycle methods
Cognizant,What do you know about Testing
Cognizant,Explain how you would test this object
Cognizant,How can we improve the ClickThrough Rate CTR
Cognizant,What is the formula for CPM
Cognizant,What are attribution models
Cognizant,What are your basic ideas about how to communicate with clients
Cognizant,How is a hashmap implemented internally
Cognizant,How do you use custom permissions in LWC
Capgemini,Write a program to print prime numbers from 1 to 100
Capgemini,How do you communicate between Microservices
Capgemini,Can you explain your college projects
Capgemini,What are derivatives in the context of calculus
Capgemini,How would you address a situation where someone is denying their productivity
Capgemini,What coding languages are you wellversed in
Capgemini,Could you elaborate on the functionality of the system
Capgemini,What is your experience with Selenium and Java
Capgemini,Write an SQL query to find the second highest salary from an employee table
Capgemini,What do you know about machine learning
Capgemini,What is a tuple in Python and is it mutable
Capgemini,What is React
Capgemini,Find the first nonrepeating character using Java 8
Capgemini,What will you do if you find a bug in production
Capgemini,How do you perform testing without test cases
Capgemini,What is the defect life cycle and explain defect priority and severity
Capgemini,Write SQL queries demonstrating the use of GROUP BY and HAVING clauses
Capgemini,Given a dataset with columns name subject and marks return the name of students with marks greater than 40 Sample data A maths 56 A science 34 B maths 45 B science 98 Expected output B
Capgemini,What is the difference between a compiler and an interpreter
Capgemini,What is machine language
Capgemini,Tell me about C
Capgemini,Briefly describe the C language
Capgemini,What is the difference between local and global variables
Capgemini,What are the differences between a single role and a derived role
Capgemini,Use of Space and page
Capgemini,Explain the firstlevel and secondlevel cache in Hibernate
Capgemini,What are classes and objects
Capgemini,How do you install an operating system
Capgemini,What is the difference between SSD and HDD
Capgemini,What are the methods for enabling a Core Data Services CDS view for delta extraction
Capgemini,What are the steps to activate the standard Fiori application
Capgemini,What are the various types of CDS Core Data Services views
Capgemini,What are the steps to modify standard CDS views
Capgemini,What are the uses of AWS services
Capgemini,What is scrum practice
Capgemini,What is the Definition of Done DoD
Capgemini,What are the Scrum values
Capgemini,What is the function of the Standard Template Library STL in C
Capgemini,What is the method to find duplicate characters in a string
Capgemini,Given an array of numbers find the maximum value
Capgemini,Describe the different types of waits available in Selenium
Capgemini,Write a Java function to calculate the factorial of a given number
Capgemini,Explain dependency injection with an example
Capgemini,What is involved in supplier analysis
Capgemini,What do you know about cloud infrastructure
Capgemini,What is the difference between data and a database
Capgemini,What are the key concepts of ObjectOriented Programming OOP in detail
Capgemini,What is a Database Management System DBMS and can you explain its components and functionalities in detail
Capgemini,Implement the Factory Design Pattern
Capgemini,Implement an Immutable Class
Capgemini,What is a nominal account
Capgemini,How many golden rules are there
Capgemini,Write Java code to get the length of a string
Capgemini,How does DNS work
Capgemini,What is encapsulation
Capgemini,How do you fetch data from a database
Capgemini,What is error guessing
Capgemini,Reverse an array sort an array list collection
Capgemini,How do you handle accounting payments
Capgemini,What is ADF
Capgemini,What is the maintenance process for Airbus aircraft and what specific knowledge is required regarding Airbus systems
Capgemini,What knowledge do you have about engines
Capgemini,What are the transaction codes used for IDOC monitoring and retriggering and what is the difference between WE05 WE02 and WE09
Capgemini,How do you configure a release strategy for only the header section
Capgemini,What is the difference between Comparable and Comparator in Java
Capgemini,Given a list of numbers find the second largest element
Capgemini,What are your SQL basics
Capgemini,Explain the code flow
Capgemini,How would you unsort a sorted slice
Capgemini,What is the output of the following Go code
Capgemini,What are the differences between the core concepts of ObjectOriented Programming OOP
Capgemini,Explain the concept of inheritance with examples
Capgemini,What is the difference between runtime polymorphism and static polymorphism
Capgemini,What are the differences between threading and processes
Capgemini,What are the different phases of implementation
Capgemini,What are the different QM integrations in PP
Capgemini,What is the endtoend cycle of PP
Capgemini,What is P2P
Capgemini,Write code to print a triangle using asterisks
Capgemini,Write code demonstrating the use of filter and map on an array of numbers
Capgemini,What is the difference between ngcontent and ngtemplate
Capgemini,What is the difference between Observables and Promises
Capgemini,What is amortization Can you provide some examples
Capgemini,What types of assets are never depreciated
Capgemini,Name assets that are never amortized
Capgemini,What is Goodwill Can you provide some examples
Capgemini,An asset with a useful life of 5 years and a value of PHONE_NUMBER is purchased How much will the depreciation be each year If the asset is sold within 3 years explain the scenario and journal entries
Capgemini,What is Operating Expenditure
Capgemini,What are the Scrum ceremonies
Capgemini,What are some realtime examples of using Apache Spark
Capgemini,Explain what CICD is
Capgemini,What is the difference between Telecom Business Support Systems BSS and other related systems
Capgemini,What is the ITIL process
Capgemini,Explain the Linux booting process
Capgemini,What is Linux
Capgemini,What is reformat
Capgemini,What is a rollup
Capgemini,What is Scope Creep
Capgemini,What are the Scrum Events
Capgemini,Do you know DevOps
HDFC Bank,How would you sell our product
HDFC Bank,How do you search and join HDFC Bank data entry jobs
HDFC Bank,Tell me about your sales experience
HDFC Bank,How is your system knowledge of Excel
HDFC Bank,What is the process involved in customer sales
HDFC Bank,What strategies would you implement to scale up a business
HDFC Bank,What do you know about lending and assets
HDFC Bank,What are the key functions and services provided by banking institutions
HDFC Bank,What information can be derived from a client bank statement
HDFC Bank,How do you handle loan recovery
HDFC Bank,How do you design your framework
HDFC Bank,What are the future benefits of data entry
HDFC Bank,How many customers do you currently manage
HDFC Bank,What income target did you achieve
HDFC Bank,What is a title search
HDFC Bank,Why are you interested in sales
HDFC Bank,What technical work have you done to streamline the DBU process in banking
HDFC Bank,Briefly describe your experience handling products
HDFC Bank,How would you manage both sales and operations pressures simultaneously
HDFC Bank,How do you manage debates and disputes within a team or among other teams
HDFC Bank,What was your CTC at your previous organization
HDFC Bank,What is the purpose of analysis
HDFC Bank,What is the analysis
HDFC Bank,What is the funding amount required for different sectors such as services and manufacturing
HDFC Bank,What is RTGS
HDFC Bank,What is the interest rate for a Fixed Deposit FD
HDFC Bank,How do you solve problems
HDFC Bank,Can you describe a challenging situation at work and how you handled it
HDFC Bank,Why do you want to work with us and what makes you a good fit for this role
HDFC Bank,What is the full form of HDFC
HDFC Bank,What is Tally
HDFC Bank,Are you familiar with computer fundamentals
HDFC Bank,How do you cultivate relationships with partners to foster business growth
HDFC Bank,Why should I select you
HDFC Bank,Tell me about your academic background
HDFC Bank,What is the difference between banking and finance
HDFC Bank,What is your reason for switching organizations
HDFC Bank,What is the culture like at your company
HDFC Bank,Tell me about your knowledge of the banking sector
HDFC Bank,Why did you leave your previous job at the bank considering it was a sedentary position with established processes
HDFC Bank,What is the fixed obligation to income ratio
HDFC Bank,What is CIBIL
HDFC Bank,What is Fund Transfer Pricing
HDFC Bank,What is the banking policy related to working professionals
HDFC Bank,How would you sell insurance for a phone valued at 10000 rupees
HDFC Bank,How many buckets are you handling
HDFC Bank,What is the purpose of changing jobs
HDFC Bank,Can you fulfill the target within the given time
HDFC Bank,What are the best practices for handling customers
HDFC Bank,What is the process for NonPerforming Asset NPA customer settlement
HDFC Bank,What is the difference between a private limited company and a public limited company
HDFC Bank,How would you manage the branch
HDFC Bank,What is the source of lead generation
HDFC Bank,How do you manage your customers
HDFC Bank,What is your aim
HDFC Bank,What information is included on a share certificate
HDFC Bank,How do you communicate with customers
HDFC Bank,What is the meaning of a mortgage
HDFC Bank,What does RTC stand for
HDFC Bank,What is the meaning of EC
HDFC Bank,What is the importance of a credit score in banking
HDFC Bank,What is the difference between GROUP BY and HAVING clauses
HDFC Bank,Explain the different types of joins
HDFC Bank,Tell me about a second method for updating queries
HDFC Bank,What is the difference between a Recurring Deposit RD and a Fixed Deposit FD
HDFC Bank,What is the difference between a current account and a savings account
HDFC Bank,What is the difference between a savings account and a current account
HDFC Bank,Why are you leaving your previous company
HDFC Bank,What are the individual sales criteria achieved by each staff member in relation to branch targets on a monthovermonth basis according to branch size and staffing for 5 valuebased products including as read more
HDFC Bank,What would you do
HDFC Bank,Tell me about yourself in detail
HDFC Bank,How did you work in your last organization
HDFC Bank,What do you bring to the table
HDFC Bank,What is CRR
HDFC Bank,What are your past experiences
HDFC Bank,How do you change your current bank
HDFC Bank,What does the job entail
HDFC Bank,What is the maximum amount of life insurance you can obtain
HDFC Bank,How do you explain to customers that they need to make a payment
HDFC Bank,What is the process of communicating with customers as a collection officer and what steps are involved in visiting them
HDFC Bank,What knowledge do you have regarding the financial domain
HDFC Bank,How do you manage collections
HDFC Bank,What products and services are relevant to this customer
HDFC Bank,What is your experience with customer relationship management
HDFC Bank,What is your approach to time management
HDFC Bank,What is DRR
HDFC Bank,How do you approach collections
HDFC Bank,What is your experience and qualifications
HDFC Bank,What was your last companys working area
HDFC Bank,What are the different types of banking investments
HDFC Bank,What is the purpose of life insurance as an investment
HDFC Bank,What are ULIP plans
HDFC Bank,What documents are required for customer Know Your Customer KYC verification
HDFC Bank,What are the different types of mutual funds
HDFC Bank,What are the different types of banking products available
HDFC Bank,What are the different types of banking loans
HDFC Bank,What is ARC
HDFC Bank,What are the qualities of a good auditor
HDFC Bank,How do you provide accurate information
HDFC Bank,How do you provide customers with proper product information
Infosys,How would you connect an SQL server with Python to perform data cleaning and modeling
Infosys,What is HTML5
Infosys,What is the process for retrieving data from a database using a REST API in Spring Boot with Java
Infosys,Write code for reversing a string in Java 8
Infosys,Describe your experience with one endtoend implementation in SAP PO
Infosys,What is the definition of language
Infosys,What utilities and ABENDs are you familiar with and how have you resolved them
Infosys,Describe how you would design a queuing system
Infosys,What are streams in Java
Infosys,What is the function of the ping command
Infosys,Write a program to implement a calculator
Infosys,What are some Java frameworks and what are the differences among them
Infosys,What is a profiler
Infosys,What is the difference between stopping an instance and deleting an instance
Infosys,What is P2P
Infosys,What is the difference between deep copy and shallow copy
Infosys,How does memory management work in Python
Infosys,Explain polymorphism with code examples
Infosys,What are the types of SQL joins and can you provide examples
Infosys,What is the function of a trycatch block in exception handling and how does it work
Infosys,What is the transient keyword and where is it used
Infosys,What is the MVC architecture
Infosys,What challenges have you faced during project delivery
Infosys,Were you engaged in sprint 0 tasks and what tasks were planned
Infosys,Can you describe the cloud processes you have utilized in your work
Infosys,How would you apply Dijkstras Algorithm in a reallife scenario
Infosys,What is a metaclass in Smalltalk
Infosys,What are the major metrics used for maintenance and bug fixing
Infosys,Introduce the project
Infosys,What methodologies are used in Six Sigma projects
Infosys,How is accounting determined in an invoice document Please explain
Infosys,What is the pricing procedure and how is pricing determined
Infosys,Why is it necessary to assign a partner function to both the partner determination procedure and the account group
Infosys,What is OData
Infosys,Tell me about a time when you used data to solve a business problem
Infosys,What are the different types of joins in SQL
Infosys,What is the difference between JUnit and TestNG
Infosys,How do you parse JSON
Infosys,Explain some annotations in TestNG
Infosys,What are requests and responses in API
Infosys,How do you calculate the total YTD with fiscal year changes
Infosys,Explain the effect of slicer selection values on ALL ALLSELECTED and ALLEXCEPT DAX functions
Infosys,What do you know about Infosys services and solutions
Infosys,Where can we find the financial reports
Infosys,How do you handle customer refunds in AR
Infosys,How many types of accounts are there
Infosys,What is a secondary ledger
Infosys,What is a ledger
Infosys,How many types of tickets are there
Infosys,Why are you using revaluation
Infosys,What is Pay Alone
Infosys,What is reporting currency
Infosys,What are prepayment journal entries
Infosys,What is SAP FICO
Infosys,Explain the event loop
Infosys,How do you reverse a list in Python
Infosys,What is polymorphism and can you provide an example
Infosys,How do you debug objectoriented programming concepts using class and object programs
Infosys,What is polymorphism
Infosys,What is a public cloud
Infosys,What is the data analysis process
Infosys,Explain what an outlier is
Infosys,What are your preferred methods for using Python
Infosys,What are the different challenges one faces during data analysis
Infosys,What is data analysis
Infosys,Explain the features of Java 21
Infosys,Explain the Clonable interface
Infosys,Are we able to achieve 100 abstraction
Infosys,Explain Dependency Injection DI
Infosys,Describe the concept of a functional interface
Infosys,Describe the concept of a functional interface
Infosys,What is the method for identifying prime numbers
Infosys,What is the DevOps process
Infosys,What is a hash collision
Infosys,What is a string
Infosys,Which are the OOPs concepts
Infosys,What is the detailed process for handling warranty claims
Infosys,How does the Agile methodology work
Infosys,What are the differences between ArrayList and LinkedList
Infosys,Explain the usage of JavaScript executors and their internal functionalities
Infosys,How do you prioritize user requirements in the development of SAP ABAP applications
Infosys,Can you elaborate on your experience with SAP ABAP and how it prepares you for IT consulting roles
Infosys,Explain the concept of encapsulation in Java
Infosys,What is the super keyword
Infosys,How do you cope with your weaknesses
Infosys,What are datums and why are they used
Infosys,What are seals and why are they necessary
Infosys,What problems did you encounter with the instrument panel and how did you overcome them
Infosys,What are the steps involved in the plastic part design process
Infosys,What is isostatism
Infosys,Explain the Golden Rules of Accounting
Infosys,What is your experience as a Data Architect
Infosys,Write a Java program demonstrating the use of classes and objects
Infosys,Write a program using HTML
Infosys,What is inheritance in the context of programming
Infosys,What is an immutable class
